index,academic_year_first_registration,birth_date,nacionality,num_registrations,num_registrations_course_conferent_degree,working_student,age,total_ects,has_scholarship,moved_student,registrations,repetitions,attendance_T,attendance_TP,attendance_PL,TP_time,PL_time,frequency_grade_result,frequency_grade,normal_grade_result,normal_grade,recovery_grade_result,recovery_grade,valid_final_grade,years_since_registration,dropout
772,2011/2012,1993-05-14 05:00:00,PRT,1,7,0,28,78.0,False,True,1,3,0.6296296296296297,0.8181818181818182,0.5,15:30:00,17:00:00,AP,11.0,F,0.0,F,0.0,1,4,False
775,2011/2012,1993-01-25 06:00:00,PRT,1,7,0,28,78.0,False,True,1,3,0.7777777777777778,0.9090909090909092,0.6666666666666666,15:30:00,21:30:00,AP,12.0,F,0.0,F,0.0,1,4,False
776,2011/2012,1993-12-03 06:00:00,PRT,1,8,0,27,66.0,True,True,1,3,0.5925925925925926,0.9090909090909092,0.6666666666666666,15:30:00,23:30:00,AP,12.0,F,0.0,F,0.0,1,4,False
780,2011/2012,1990-07-25 05:00:00,PRT,6,8,0,30,84.0,False,False,1,0,0.5555555555555556,0.9090909090909092,0.6666666666666666,15:30:00,21:30:00,R,7.0,F,0.0,R,6.0,0,4,False
781,2011/2012,1992-10-26 06:00:00,PRT,1,7,0,28,84.0,True,False,1,1,0.2962962962962963,0.9,0.75,15:00:00,20:00:00,AP,11.0,F,0.0,F,0.0,1,4,False
782,2011/2012,1993-02-18 06:00:00,PRT,1,7,0,28,79.0,True,False,1,2,0.074074074074074,0.7272727272727273,0.5,15:30:00,20:00:00,R,6.0,F,0.0,F,0.0,0,4,True
783,2011/2012,1993-12-20 06:00:00,PRT,1,9,0,27,84.0,False,False,1,3,0.074074074074074,0.7272727272727273,0.5,15:30:00,20:00:00,AP,10.0,F,0.0,F,0.0,1,4,False
787,2011/2012,1993-04-05 05:00:00,PRT,1,10,0,28,73.0,False,True,1,0,0.4814814814814814,0.8181818181818182,0.6666666666666666,15:30:00,21:30:00,R,4.0,F,0.0,F,0.0,0,4,True
789,2012/2013,1994-07-13 05:00:00,PRT,5,8,0,26,84.0,False,True,1,2,0.2592592592592592,0.8,0.6666666666666666,15:00:00,15:00:00,AP,12.0,F,0.0,AP,12.0,1,3,False
794,2012/2013,1994-06-06 05:00:00,PRT,1,7,0,27,72.0,False,True,1,2,0.2592592592592592,0.6363636363636364,0.5,15:30:00,22:00:00,AP,11.0,F,0.0,F,0.0,1,3,False
